Alpha,SNP_A,SNP_B,SNP_C,SNP_D
0.512126,N2,N26,N29,M2Q2
0.512126,N0,N13,N22,N31
0.512123,N2,N18,N24,M1T3
0.512118,N2,N6,N34,M2Q1
0.512113,N0,N34,N39,M1T3
0.512111,N0,N18,N28,M1T3
0.512109,N2,N31,N33,N37
0.512109,N2,N11,N12,N24
0.512109,N2,N10,M1T3,M2Q4
0.512106,N2,N6,N18,M1T2
0.512102,N2,N9,N11,N24
0.512101,N2,N36,M1T2,M2Q2
0.512097,N2,N6,N34,N37
0.512095,N0,N29,N33,N37
0.512091,N3,N34,N37,M2Q1
0.512090,N2,N24,N30,M0P2
0.512089,N0,N6,N11,M1T3
0.512086,N2,N12,N31,M1T3
0.512084,N2,N11,N12,M1T1
0.512083,N2,N13,N24,N36
0.512080,N2,N11,N31,M2Q3
0.512079,N2,N9,N34,M1T3
0.512076,N3,M1T2,M2Q1,M2Q2
0.512075,N2,N18,N34,M1T3
0.512075,N0,N7,N19,N36
0.512067,N2,N31,N34,M2Q2
0.512066,N3,N13,M1T2,M2Q1
0.512059,N3,N28,N36,M2Q3
0.512058,N3,N9,N36,N39
0.512051,N2,N12,N29,M2Q1
